Pressure DMM (V_avg),Particle Peak-to-Peak (Vpp),Trigger Count
9.075251,16.936,302
9.006421,16.735999999999997,333
9.00913,16.976000000000003,310
8.935167,16.944000000000003,335
8.919364,16.496,331
8.931472,16.915999999999997,300
8.847458,16.547999999999995,317
8.876405,16.196000000000005,300
8.835986,15.176000000000002,293
8.796121,16.624,320
8.748093,16.712,327
8.707341,15.923999999999996,303
8.740635,16.627999999999997,319
8.648628,16.596,339
8.630736,15.148,286
8.659949,16.316,315
8.574649,16.315999999999995,292
8.566655,16.1,280
8.582006,16.488,319
8.509749,16.176000000000005,316
8.530267,15.504,285
8.442123,16.016,347
8.449916,15.6,325
8.401187,15.663999999999998,312
8.365317,15.384000000000004,341
8.355669,15.160000000000002,334
8.345903,14.124,283
8.268561,15.984,310
8.258628,15.832000000000004,320
8.248946,16.232000000000003,321
8.17796,15.255999999999997,330
8.191053,15.98,298
8.191873,16.072,311
8.15709,15.199999999999998,300
8.080133,15.06,305
8.104163,14.38,319
8.031321,15.6,299
8.06826,15.320000000000002,316
8.039949,15.252,310
8.00903,15.06,321
7.962174,14.795999999999998,329
7.916455,14.76,296
7.937257,15.364,310
7.899231,14.672000000000002,297
7.842023,15.311999999999998,316
7.80694,14.664,327
7.836438,13.132,315
7.759665,14.852,318
7.7849,14.084,300
7.728377,14.996,314
7.729231,14.328,331
7.708913,13.568,325
7.646538,13.736,300
7.62015,14.16,338
7.639665,14.532,297
7.585167,13.148,301
7.519665,14.48,293
7.519665,14.48,274
7.519665,14.48,294
7.444548,13.704,318
7.436655,13.696000000000002,308
7.392843,13.712,310
7.347626,13.352,287
7.27291,13.496,295
7.253244,13.720000000000002,328
7.253779,13.451999999999998,305
7.253377,13.916000000000002,293
7.253846,13.099999999999998,326
7.25291,13.352,302
7.166221,12.452,281
7.165552,13.132,297
7.150234,12.812000000000005,286
7.163812,13.108,309
7.078527,12.56,297
7.078527,12.636,300
7.077726,12.647999999999998,295
6.992976,12.992,315
6.990301,12.656,284
6.990301,12.739999999999998,314
6.990501,12.66,313
6.985017,12.144,316
6.907491,12.368,296
6.902207,12.336,304
6.807759,12.288,285
6.898127,12.132,294
6.820067,12.376,284
6.807424,11.200000000000005,314
6.807491,11.756000000000002,275
6.803411,12.48,304
6.710502,12.024,284
6.709364,11.732,301
6.693979,10.668,303
6.621872,10.9200002,355
6.615317,11.52,320
6.615786,11.063999999999998,305
6.54194,11.259999999999996,335
6.528294,11.512000049999996,301
6.527826,11.192,306
6.510435,11.876,307
6.478796,10.98,302
6.44,10.908,302
6.440267,10.456000000000005,296
6.44,10.836,274
6.43224,10.888000000000002,326
6.372977,10.816,298
6.352174,10.632,311
6.326221,10.384,294
6.264883,10.756000000000002,306
6.264482,11.663999999999998,299
6.264682,10.211999999999998,304
6.264281,10.111999999999998,301
6.225284,10.016000000000002,313
6.171839,10.400000000000002,311
6.170502,9.627999999999998,288
6.102943,9.76,313
6.154515,10.512000000000004,289
6.121338,11.227999999999998,287
6.074649,9.9040002,276
6.072776,9.828000200000002,290
5.98281,9.388000000000002,295
5.978996,9.584000000000003,299
5.978327,9.959999999999996,321
5.976655,10.312,300
5.954448,8.799999849999997,306
5.897057,10.176,315
5.939665,9.992,312
5.891505,9.595999999999998,304
5.889565,9.116,304
5.889163,8.703999849999999,307
5.808361,8.71599985,285
5.802809,9.679999999999998,283
5.800803,9.50800025,293
5.742408,9.16799975,283
5.798863,8.8,256
5.718796,8.643999849999997,276
5.713512,8.7239999,254
5.713913,8.999999999999998,261
5.713846,9.028000000000002,233
5.631171,8.567999799999999,238
5.62903,9.39599985,295
5.626221,8.592000000000002,247
5.626622,9.1560002,197
5.540802,8.943999999999999,237
5.567759,8.415999600000001,206
5.534514,8.511999649999998,261
5.533913,8.851999999999997,373
5.532843,7.31199965,383
5.531706,9.06799985,164
5.437459,8.615999749999999,231
5.435853,8.459999800000002,490
5.436522,8.800000199999998,229
5.401472,6.659999849999998,488
5.429766,5.483999819999999,524
5.342007,7.035999750000002,244
5.341605,9.0159997,200
5.340334,8.8119995,178
5.258528,7.5399997500000016,123
5.316254,5.4759994,67
5.274649,2.68799975,56
5.251103,4.539999915,98
5.250301,6.875999800000001,70
5.250635,3.732,40
5.216655,2.163999764999999,18
5.16321,0.951999905,1
5.16321,2.1439997600000003,30
5.16321,0.6239999650000001,2
5.074916,0.5519999499999999,1
5.075518,1.89200011,12
5.074515,2.5159997849999995,20
5.075183,1.971999955,10
5.074582,2.69999998,1
5.021003,0.6119999649999999,2
5.015986,0.6119999450000001,1
4.988227,0.5959999850000001,2
4.989297,0.5919999600000001,1
4.987893,0.556,2
4.902274,0.5599999800000001,1
4.916321,0.6199999500000002,0
