Peak-to-Peak Voltage (Vpp)
0.48
0.48
0.48
0.48
0.48
0.48
0.48
0.48
0.64
0.64
7.6
7.6
0.72
0.72
0.72
0.64
0.66666
0.589
0.5444
0.5888
0.5678
0.64
0.64
0.64
0.64
0.64
0.8
0.8
0.56
0.66666
0.589
0.5444
0.5888
0.5678
0.56
0.56
0.56
0.56
0.72
0.72
0.72
0.72
0.4
0.4
0.64
0.64
0.64
0.48
0.48
0.8
0.8
0.56
0.56
0.5599999
0.5599999
0.5599999
0.56
0.56
0.5599999
0.5599999
0.56
0.56
0.56
0.56
0.56
0.56
0.56
0.56
0.64
0.64
0.64
0.5599999
0.5599999
0.56
0.56
0.64
0.66666
0.589
0.5444
0.5888
0.5678
0.64
0.56
0.56
0.56
0.8
0.8
0.8
0.8
0.72
0.72
0.48
0.48
0.48
0.64
0.64
0.72
0.72
0.64
0.64
0.4
0.4
0.4
0.66666
0.589
0.5444
0.5888
0.5678
0.64
0.64
0.64
0.64
0.72
0.72
0.64
0.64
0.64
0.72
0.72
0.64
0.64
0.72
0.72
0.64
0.64
0.64
0.8
0.8
0.5599999
0.5599999
0.64
0.64
0.48
0.48
0.64
0.64
0.72
0.72
0.64
0.64
0.56
0.56
0.72
0.72
0.72
0.56
0.56
0.48
0.48
0.56
0.56
0.72
0.72
0.56
0.56
0.56
0.56
0.64
0.64
0.56
0.56
0.48
0.48
0.48
0.64
0.64
0.64
0.64
0.48
0.48
0.5599999
0.5599999
0.64
0.64
0.5599999
0.5599999
0.5599999
0.72
0.72
0.48
0.48
0.48
0.48
0.56
0.56
0.48
0.48
0.56
0.56
0.56
0.64
0.64
0.56
0.56
0.56
0.56
0.56
0.56
0.56
0.56
0.56
0.48
0.48
0.72
0.72
0.56
0.56
0.72
0.72
0.56
0.56
0.56
0.64
0.64
0.56
0.56
0.56
0.56
0.64
0.64
0.64
0.64
0.64
0.56
0.56
0.72
0.72
0.72
0.72
0.72
0.56
0.56
0.72
0.72
0.72
0.8
0.8
0.8
0.8
0.56
0.56
0.64
0.64
0.64
0.48
0.48
0.72
0.72
0.56
0.56
0.32
0.32
0.32
0.64
0.64
0.5599999
0.5599999
0.48
0.48
0.64
0.64
0.48
0.48
0.56
0.56
0.56
0.64
0.64
0.56
0.56
0.48
0.48
0.56
0.56
0.56
0.56
0.56
0.56
0.56
0.56
0.56
0.72
0.72
0.72
0.72
0.72
0.72
0.72
0.64
0.64
0.48
0.48
0.48
0.48
0.48
0.56
0.56
0.48
0.48
0.64
0.64
0.64
0.64
0.64
0.8
0.8
0.64
0.64
0.48
0.48
0.48
0.56
0.56
0.64
0.64
0.56
0.56
0.56
0.56
0.56
0.56
0.56
0.56
0.56
0.48
0.48
0.56
0.56
0.56
0.72
0.72
0.56
0.56
0.72
0.72
0.56
0.56
0.56
0.64
0.64
0.72
0.72
0.72
0.72
0.72
0.48
0.48
0.56
0.56
0.72
0.72
0.72
0.56
0.56
0.64
0.64
0.64
0.64
0.8
0.8
0.8
0.64
0.64
0.56
0.56
0.56
0.56
0.64
0.64
0.72
0.72
0.8
0.8
0.8
0.5599999
0.5599999
0.64
0.64
0.56
0.56
0.8
0.8
0.8
0.4
0.4
0.8
0.8
0.48
0.48
0.8
0.8
0.8
0.48
0.48
0.56
0.56
0.48
0.48
0.56
0.56
0.56
0.56
0.8
0.8
0.8
0.56
0.56
0.64
0.64
0.64
0.64
0.56
0.56
0.56
0.56
0.56
0.56
0.56
0.48
0.48
0.64
0.64
0.64
0.64
0.64
0.64
0.48
0.48
0.88
0.88
0.5599999
0.5599999
0.72
0.72
0.64
0.64
0.64
0.5599999
0.5599999
0.64
0.64
0.64
0.64
0.64
0.64
0.64
0.72
0.72
0.4
0.4
0.4
0.56
0.56
0.5599999
0.5599999
0.72
0.72
0.48
0.48
0.72
0.72
0.56
0.56
0.56
0.64
0.64
0.56
0.56
0.64
0.64
0.72
0.72
0.64
0.64
0.56
0.56
0.56
0.56
0.56
0.56
0.64
0.64
0.48
0.48
0.72
0.72
0.72
0.64
0.64
0.5599999
0.5599999
0.56
0.56
0.64
0.64
0.64
0.64
0.64
0.64
0.64
