Peak-to-Peak Voltage (Vpp)
16.88
16.88
16.88
16.88
16.88
16.8
16.8
16.8
16.64
16.64
17.28
17.28
16.32
16.32
16.8
16.8
16.8
16.48
16.48
16.72
16.72
16.96
16.96
16.72
16.72
16.72
16.64
16.64
16.8
16.8
16.72
16.72
16.88
16.88
16.88
16.72
16.72
16.8
16.8
16.56
16.56
16.8
16.8
16.48
16.48
17.12
17.12
17.12
16.56
16.56
16.32
16.32
17.2
17.2
16.8
16.8
16.72
16.72
16.72
16.72
16.72
16.8
16.8
16.8
16.8
16.8
16.64
16.64
17.04
17.04
16.8
16.8
17.2
17.2
17.2
16.72
16.72
16.48
16.48
16.8
16.8
16.8
16.8
16.8
16.72
16.72
16.64
16.64
16.96
16.96
16.16
16.16
16.16
16.48
16.48
16.8
16.8
16.24
16.24
16.56
16.56
16.56
17.2
17.2
16.64
16.64
17.12
17.12
17.12
17.12
17.12
16.88
16.88
16.8
16.8
16.56
16.56
17.28
17.28
17.28
16.32
16.32
16.56
16.56
16.72
16.72
16.4
16.4
16.8
16.8
16.8
16.8
16.8
16.72
16.72
16.72
16.72
16.88
16.88
16.88
16.88
16.88
16.8
16.8
16.64
16.64
16.88
16.88
17.12
17.12
17.12
16.88
16.88
16.72
16.72
16.72
16.72
16.88
16.88
16.88
16.32
16.32
16.48
16.48
16.48
16.48
17.2
17.2
17.2
16.56
16.56
16.64
16.64
16.64
17.12
17.04
17.04
17.04
16.64
16.64
16.64
16.64
16.64
16.56
16.56
17.12
17.12
16.64
16.64
16.48
16.48
16.48
16.56
16.56
16.88
16.88
16.96
16.96
16.16
16.16
16.16
16.08
16.08
16.72
16.72
16.72
16.72
16.48
16.48
16.48
16.8
16.8
16.96
16.96
16.88
16.88
6.48
6.48
6.48
16.88
16.88
17.12
17.12
17.2
17.2
16.48
16.48
16.48
16.32
16.32
16.88
16.88
17.2
17.2
17.12
17.12
17.12
16.64
16.64
0.5600001
0.5600001
16.8
16.8
16.56
16.56
16.56
14.64
14.64
16.8
16.8
16.64
16.64
16.72
16.72
16.72
16.56
16.56
16.4
16.4
16.8
16.8
16.8
16.8
16.8
17.2
17.2
16.72
16.72
16.8
16.8
17.28
17.28
17.28
16.72
16.72
16.72
16.72
17.28
17.28
16.96
16.96
16.96
16.72
16.72
16.88
16.88
17.2
17.2
17.12
17.12
17.12
16.64
16.64
17.04
17.04
16.64
16.64
16.96
16.96
16.96
16.64
16.64
17.28
17.28
16.96
16.96
16.56
16.56
16.56
16.32
17.28
17.28
17.28
16.24
16.24
16.72
16.72
16.8
16.8
16.32
16.32
16.32
16.88
16.88
16.56
16.56
16.72
16.72
17.04
17.04
17.04
16.64
16.64
17.2
17.2
16.64
16.64
16.8
16.8
17.28
17.28
17.28
17.28
17.28
16.88
16.88
16.56
16.56
16.4
16.4
16.72
16.72
16.72
16.88
16.88
16.88
16.88
16.8
16.8
17.36
17.36
16.8
17.04
17.04
17.04
16.72
16.72
17.2
17.2
16.88
16.88
17.2
17.2
17.2
16.8
16.8
15.28
15.28
16.4
16.4
16.24
16.24
16.24
16.64
16.64
16.96
16.96
15.2
15.2
15.2
16.72
16.72
16.88
16.88
16.96
16.96
16.96
16.08
16.08
16.64
16.64
17.28
17.28
16.72
16.72
16.72
16.8
16.8
16.96
16.96
17.12
17.12
16.64
16.64
16.64
16.8
16.8
16.8
16.8
16.88
16.88
16.24
16.24
16.24
16.64
16.64
16.96
16.96
17.28
17.28
16.64
16.64
16.64
16.96
16.96
16.88
16.88
16.8
16.8
16.56
16.56
16.56
17.28
17.28
16.72
16.72
16.88
16.88
16.8
16.8
16.8
16.88
16.88
16.72
16.72
16.96
16.96
17.2
17.2
17.2
16.48
16.96
16.96
16.96
16.96
16.96
16.88
16.88
17.04
17.04
10.08
10.08
10.08
17.12
17.12
16.96
16.96
16.72
16.72
16.48
16.48
16.48
16.8
16.8
16.96
16.96
16.88
16.88
17.04
17.04
17.04
16.72
16.72
16.24
16.24
16.8
16.8
16.88
16.88
17.04
17.04
17.28
17.28
17.28
16.16
16.16
15.84
15.84
16.48
16.48
16.72
16.72
16.72
17.12
17.12
16.48
16.48
16.56
16.56
16.88
16.88
16.88
17.04
17.04
16.56
16.56
16.96
16.96
16.72
16.72
16.72
16.4
16.4
17.12
17.12
16.56
16.56
16.48
16.48
16.72
16.72
16.72
16.72
16.72
16.4
16.4
17.2
17.2
17.2
17.2
16.8
16.8
16.8
17.04
17.04
16.72
16.72
16.88
16.88
16.72
16.72
16.8
16.8
16.64
16.64
16.64
16.72
16.72
16.8
16.8
16.8
16.8
16.96
16.96
16.96
17.28
17.28
16.88
16.88
17.28
17.28
17.28
17.28
17.28
17.2
17.2
16.88
16.88
16.56
16.56
16.48
16.48
17.36
17.36
16.88
16.88
16.88
16.96
16.96
17.2
17.2
17.04
17.04
17.04
16.8
16.8
17.28
17.28
17.28
17.28
17.28
16.64
16.64
16.72
16.72
16.56
16.56
17.36
17.36
17.36
16.8
16.8
16.88
16.88
16.88
17.2
17.2
16.8
16.8
16.08
16.08
16.64
16.64
16.64
14.56
14.56
16.8
16.8
16.64
16.64
16.88
16.88
16.56
16.56
16.8
16.8
16.8
16.8
16.8
16.64
16.64
16.48
16.48
17.2
17.2
17.2
15.2
15.2
16.72
16.72
16.88
16.88
16.8
16.8
16.8
16.8
17.12
17.12
17.12
16.72
16.72
16.56
16.56
17.12
17.12
16.96
16.96
16.96
16.56
16.56
16.96
16.96
16.96
16.96
16.64
16.64
16.64
17.12
16.88
16.88
16.88
16.88
16.88
17.12
17.12
16.88
16.88
16.4
16.4
16.4
16.64
16.64
16.8
16.8
15.76
15.76
16.08
16.08
16.08
16.8
16.8
17.36
17.36
17.36
