Pressure DMM (V_avg),Particle Peak-to-Peak (Vpp),Trigger Count
9.08321,16.98,303
9.038662,16.720000000000006,328
8.955651,16.824,304
8.909163,16.692,300
8.90816,16.747999999999998,307
8.908963,16.692,311
8.908629,16.236000000000004,273
8.847558,15.488,351
8.815317,16.652000000000005,305
8.757257,16.479999999999997,303
8.815317,16.724,284
8.719196,16.364,302
8.718996,16.388,335
8.719196,16.524000000000004,275
8.687024,16.352000000000004,295
8.623679,16.451999999999998,328
8.623478,16.059999999999995,321
8.623478,16.564000000000004,308
8.531171,16.355999999999998,318
8.525819,16.376000000000005,305
8.44475,15.728,322
8.44515,14.264000000000001,323
8.444882,15.999999999999996,310
8.445484,15.723999999999998,315
8.357191,15.944000000000003,321
8.372642,15.260000000000002,312
8.35612,15.923999999999996,311
8.305083,15.547999999999996,300
8.349566,15.284000000000002,311
8.270368,15.844,380
8.208361,15.752,298
8.268695,13.212000000000003,341
8.176856,15.404,294
8.177926,15.456000000000003,316
8.174314,14.972,308
8.081672,15.112000000000004,287
8.081739,14.844000000000003,295
8.081805,15.599999999999998,293
8.080668,13.415999999999997,301
7.985352,15.24,326
7.985284,15.052000000000001,293
7.984883,14.908000000000001,290
7.982743,15.071999999999997,325
7.899131,14.583999999999998,292
7.89204,14.772000000000002,329
7.80602,14.675999999999997,288
7.874248,14.472000000000003,312
7.807157,14.539999999999997,329
7.805284,14.911999999999997,294
7.728495,14.924000000000001,343
7.762007,14.399999999999997,307
7.716789,13.976000000000003,319
7.716588,14.164000000000001,332
7.631371,14.451999999999998,290
7.629298,13.968,288
7.629364,14.415999999999997,316
7.629766,14.280000000000005,309
7.5402,14.511999999999997,347
7.542474,14.227999999999998,291
7.54,13.88,300
7.511839,14.184000000000001,311
7.501003,14.12,299
7.444883,13.6,316
7.438327,13.535999999999998,310
7.34796,13.172,297
7.348093,13.420000000000002,308
7.348829,13.760000000000002,308
7.347558,13.36,292
7.28495,13.684000000000001,327
7.287358,12.820000000000002,320
7.234983,13.364,291
7.253043,13.424000000000001,293
7.165953,12.872,319
7.166421,13.156,338
7.078462,12.856,315
7.080067,13.620000000000001,292
7.078328,12.888000000000002,295
7.078195,12.888,325
7.078462,12.772,314
7.068495,12.172,304
6.990435,12.588000000000003,331
6.990367,12.823999999999998,301
6.98816,12.776,312
6.902207,12.499999999999998,301
6.925017,11.780000000000001,311
6.902743,12.335999999999999,296
6.902408,11.248000000000001,311
6.807358,12.116000000000001,302
6.80796,12.267999999999997,273
6.807358,12.167999999999997,339
6.711705,11.419999999999998,288
6.710636,11.623999999999999,302
6.711036,11.547999999999998,327
6.710434,11.636000000000003,296
6.616188,11.307999999999998,308
6.615786,11.892,302
6.616321,11.648,319
6.615719,11.444000150000003,290
6.536655,11.435999999999998,301
6.601338,10.960000000000003,275
6.529766,10.960000000000003,294
6.528628,11.02,307
6.445819,11.088,306
6.440602,10.895999999999997,282
6.440267,11.264000000000003,278
6.440334,11.803999999999998,292
6.439933,10.836000150000002,322
6.352776,11.008000000000001,285
6.365551,10.824000000000002,289
6.352308,10.744000000000002,302
6.340267,10.76800015,275
6.352776,9.959999849999997,292
6.34107,10.964000000000002,303
6.265151,10.448000000000002,322
6.264281,10.804,297
6.241806,10.779999999999998,291
6.208963,9.87999995,297
6.171772,9.811999999999998,317
6.169966,9.372000000000003,308
6.109766,10.684000000000001,315
6.154849,9.996,319
6.073043,9.792000150000002,300
6.074782,10.187999999999999,311
6.07311,9.627999999999998,327
5.986555,9.74799995,287
5.977792,9.092,304
5.978327,10.211999999999998,300
5.978261,9.420000000000002,255
5.978194,9.252000200000001,271
5.891906,9.799999850000003,290
5.932843,9.264000200000002,288
5.889832,9.62799995,289
5.883478,9.760000150000002,316
5.889765,9.828,262
5.80214,9.712,292
5.801939,8.7839998,269
5.802876,9.056000000000001,296
5.800936,8.896,315
5.714649,9.104000199999998,265
5.734046,9.259999850000002,272
5.713645,9.047999999999998,300
5.713913,8.892000249999999,269
5.664548,8.972000000000001,247
5.62709,9.563999899999999,242
5.639264,7.5159998,300
5.626756,7.0119996,221
5.626688,9.211999549999998,247
5.570703,8.499999750000002,216
5.532375,8.799999600000001,325
5.532308,8.748000099999999,159
5.532441,8.7760001,181
5.512375,9.0879998,201
5.435719,8.219999849999999,205
5.435853,8.81199985,189
5.435719,5.295999800000001,200
5.435585,8.34799985,183
5.384281,8.8879998,175
5.340869,7.255999799999998,130
5.341739,8.999999650000001,145
5.340535,7.419999434999999,156
5.340134,4.808000000000002,133
5.340535,2.559999765,90
5.333311,5.5759999,167
5.250903,8.027999600000001,145
5.250635,3.67999978,167
5.250769,0.5999999600000001,3
5.250502,3.743999819999999,50
5.202274,2.271999975,5
5.163545,6.679999999999998,100
5.163411,2.3359997999999993,40
5.163278,3.3240000199999997,63
5.076254,1.823999985,34
5.13311,2.0799999799999993,50
5.077124,0.5959999449999998,2
5.074649,2.2879997600000004,30
5.075318,0.691999995,1
5.010836,0.63999998,2
5.01893,0.6240000000000001,1
4.994047,0.591999955,2
4.988763,0.6119999650000001,1
4.969297,0.5599999399999998,1
4.987759,0.6519999550000002,1
4.960067,0.663999985,1
4.895251,0.5959999149999998,1
4.896187,0.595999975,1
4.873043,0.6120000000000002,2
4.886153,0.647999985,1
4.8002,0.6159999850000001,0
4.798395,0.6280000000000001,0
4.800134,0.6719999750000001,1
4.798461,0.6079999800000001,0
