Time (s),Voltage (V)
-1.200000000000000030e-05,1.400911633024811920e+00
-1.190123456790123565e-05,1.997058442319197269e+00
-1.180246913580246930e-05,1.997067527060753633e+00
-1.170370370370370465e-05,1.401680819685392265e+00
-1.160493827160493830e-05,1.997845810338368722e+00
-1.150617283950617365e-05,1.600927395249165386e+00
-1.140740740740740730e-05,1.600918298632130643e+00
-1.130864197530864265e-05,1.998618025246134522e+00
-1.120987654320987630e-05,1.998614985123467136e+00
-1.111111111111111164e-05,1.799386614669245432e+00
-1.101234567901234530e-05,1.998624093615983810e+00
-1.091358024691358064e-05,1.998624093615983810e+00
-1.081481481481481429e-05,1.998624093615983810e+00
-1.071604938271604964e-05,1.998624093615983810e+00
-1.061728395061728499e-05,1.998624093615983810e+00
-1.051851851851851864e-05,1.800164886071382142e+00
-1.041975308641975398e-05,1.998624093615983810e+00
-1.032098765432098764e-05,2.197861572562722188e+00
-1.022222222222222298e-05,2.197864612685386021e+00
-1.012345679012345664e-05,2.197864612685386021e+00
-1.002469135802469198e-05,1.800940141101811776e+00
-9.925925925925925634e-06,2.197858556191015111e+00
-9.827160493827160980e-06,2.197864612685386021e+00
-9.728395061728396326e-06,2.197864612685386021e+00
-9.629629629629629978e-06,2.197864612685386021e+00
-9.530864197530863630e-06,1.800946197596182685e+00
-9.432098765432098977e-06,1.800940141101811776e+00
-9.333333333333334323e-06,1.800940141101811776e+00
-9.234567901234567975e-06,1.800940141101811776e+00
-9.135802469135803321e-06,1.800946197596182685e+00
-9.037037037037036973e-06,2.197864612685386021e+00
-8.938271604938272319e-06,1.800940141101811776e+00
-8.839506172839505972e-06,1.800946197596182685e+00
-8.740740740740741318e-06,2.197864612685386021e+00
-8.641975308641974970e-06,1.800946197596182685e+00
-8.543209876543210316e-06,2.197858556191015111e+00
-8.444444444444445662e-06,1.800940141101811776e+00
-8.345679012345679314e-06,2.197858556191015111e+00
-8.246913580246912967e-06,1.800946209471661064e+00
-8.148148148148148313e-06,1.800940141101811776e+00
-8.049382716049383659e-06,2.198642895963001109e+00
-7.950617283950617311e-06,2.198639867715815654e+00
