Freq (Hz),Vpp_RX (V),Vpp_TX (V),Phase_Shift (deg)
100.00,9.9E37,9.9E37,9.9E37
1124.36,9.9E37,9.9E37,1.080000e+01
2148.72,2.320000e-02,8.180000e+00,-1.440000e+01
3173.08,2.280000e-02,8.540000e+00,-3.903615e+01
4197.44,2.200000e-02,8.980000e+00,-5.184000e+01
5221.79,2.090000e-02,9.570000e+00,-6.480000e+01
6246.15,2.016000e-02,1.002000e+01,-7.714286e+01
7270.51,1.879000e-02,1.056000e+01,-9.000000e+01
8294.87,1.780000e-02,1.101000e+01,-1.045161e+02
9319.23,1.651000e-02,1.149000e+01,-1.037838e+02
10343.59,1.558000e-02,1.197000e+01,-1.116000e+02
11367.95,1.554000e-02,1.190000e+01,-1.152000e+02
12392.31,1.549000e-02,1.197000e+01,-1.116000e+02
13416.67,1.549000e-02,1.190000e+01,-1.116000e+02
14441.03,1.549000e-02,1.197000e+01,-1.152000e+02
15465.38,7.560000e-03,1.445000e+01,-1.728000e+02
16489.74,7.520000e-03,1.445000e+01,-1.728000e+02
17514.10,7.480000e-03,1.445000e+01,-1.728000e+02
18538.46,7.650000e-03,1.445000e+01,-1.728000e+02
19562.82,7.560000e-03,1.445000e+01,-1.728000e+02
20587.18,7.520000e-03,1.445000e+01,-1.728000e+02
21611.54,7.480000e-03,1.453000e+01,-1.699200e+02
22635.90,7.480000e-03,1.445000e+01,-1.699200e+02
23660.26,7.480000e-03,1.445000e+01,-1.699200e+02
24684.62,7.430000e-03,1.445000e+01,-1.699200e+02
25708.97,3.960000e-03,1.544000e+01,1.518072e+02
26733.33,3.960000e-03,1.544000e+01,1.518072e+02
27757.69,3.960000e-03,1.544000e+01,1.500000e+02
28782.05,3.960000e-03,1.544000e+01,1.518072e+02
29806.41,3.960000e-03,1.544000e+01,1.536586e+02
30830.77,3.920000e-03,1.536000e+01,1.518072e+02
31855.13,3.960000e-03,1.544000e+01,1.518072e+02
32879.49,3.960000e-03,1.544000e+01,1.518072e+02
33903.85,3.920000e-03,1.544000e+01,1.518072e+02
34928.21,3.960000e-03,1.544000e+01,1.518072e+02
35952.56,2.320000e-03,9.9E37,1.200000e+02
36976.92,2.360000e-03,1.582000e+01,1.142857e+02
38001.28,2.320000e-03,9.9E37,1.142857e+02
39025.64,2.320000e-03,9.9E37,1.200000e+02
40050.00,2.360000e-03,9.9E37,1.257143e+02
41074.36,2.360000e-03,9.9E37,1.239344e+02
42098.72,2.360000e-03,9.9E37,1.209600e+02
43123.08,2.360000e-03,9.9E37,1.161290e+02
44147.44,2.360000e-03,1.582000e+01,1.161290e+02
45171.79,1.480000e-03,1.600000e+01,1.054546e+02
46196.15,1.480000e-03,1.600000e+01,1.008000e+02
47220.51,1.440000e-03,1.600000e+01,9.818182e+01
48244.87,1.480000e-03,1.600000e+01,1.018182e+02
49269.23,1.520000e-03,1.595000e+01,9.623763e+01
50293.59,1.520000e-03,1.610000e+01,9.818182e+01
51317.95,1.480000e-03,1.595000e+01,9.623763e+01
52342.31,1.480000e-03,1.610000e+01,9.818182e+01
53366.67,1.480000e-03,1.600000e+01,9.623763e+01
54391.03,1.480000e-03,1.600000e+01,9.176470e+01
55415.38,1.000000e-03,1.619000e+01,8.674699e+01
56206.90,9.600000e-04,1.613000e+01,8.240964e+01
57241.38,9.600000e-04,1.613000e+01,8.142857e+01
58275.86,1.000000e-03,1.619000e+01,8.047059e+01
59310.34,9.600000e-04,1.619000e+01,7.902439e+01
60344.83,9.999999e-04,1.613000e+01,7.623529e+01
61379.31,9.600000e-04,1.619000e+01,8.240964e+01
62413.79,9.999999e-04,1.613000e+01,8.341464e+01
63448.28,1.000000e-03,1.621000e+01,8.674699e+01
64482.76,9.600000e-04,1.619000e+01,7.623529e+01
65517.24,6.400000e-04,1.628000e+01,7.500001e+01
66551.72,6.000000e-04,1.628000e+01,7.098592e+01
67586.21,6.400000e-04,1.628000e+01,8.000001e+01
68620.69,6.000000e-04,1.637000e+01,7.605634e+01
69655.17,6.000000e-04,1.628000e+01,9.126760e+01
70689.66,6.000000e-04,1.628000e+01,7.000000e+01
71724.14,6.400000e-04,1.628000e+01,7.605634e+01
72758.62,6.400000e-04,1.628000e+01,7.000000e+01
73793.10,6.400000e-04,1.637000e+01,7.000000e+01
74827.59,6.400000e-04,1.628000e+01,7.000000e+01
75862.07,6.000000e-04,1.637000e+01,7.000000e+01
76896.55,6.400000e-04,1.651000e+01,7.000000e+01
77931.03,6.000000e-04,1.628000e+01,7.000000e+01
78965.52,6.400000e-04,1.628000e+01,7.000000e+01
80000.00,6.000000e-04,1.637000e+01,7.000000e+01
